TSPAN6	6.85388903246104e-05
TNMD	0.00334196330190221
DPM1	0.000326272682840642
SCYL3	-2.23947185064751e-05
C1orf112	0.00114240523033729
FUCA2	0.000298902533132488
GCLC	0.000911856993907911
NFYA	-8.7969031764443e-05
STPG1	0.000424302076039283
NIPAL3	-0.000329925915878852
LAS1L	0.000720322752673535
ENPP4	0.000329084303319656
SEMA3F	-0.000352622910008328
CFTR	0.000392352363918722
ANKIB1	0.00031784467450872
CYP51A1	0.000807368562411755
KRIT1	9.24404403749135e-05
RAD52	-0.000287491316158609
BAD	-0.000950713878169754
LAP3	0.000526525073189439
CD99	-0.00215160788736491
HS3ST1	-0.00133805280427174
MAD1L1	-0.000277372512647776
LASP1	-0.00061596432073732
SNX11	0.000517791845712378
TMEM176A	0.00199250230537742
M6PR	0.000814190079525213
KLHL13	0.000896841846960392
ICA1	0.00162668735327207
DBNDD1	0.00136880530357577
ALS2	2.79183054323754e-05
CASP10	0.00119128498153367
CFLAR	-0.0016741293381015
TFPI	-0.0022633394241701
NDUFAF7	0.0013273881952648
RBM5	-0.00102547739136803
MTMR7	0.0016396801684476
SLC7A2	0.000430703540128911
ARF5	-0.000466580476767563
SARM1	-6.26348573174449e-05
POLDIP2	4.71909932526231e-05
PLXND1	-0.00083377109693244
AK2	9.10931535905902e-05
FKBP4	0.000930078656554145
KDM1A	-0.00469771817104917
RBM6	-8.20496512243734e-05
CAMKK1	0.00116097206800582
RECQL	0.000325875856224168
VPS50	-3.02023354830305e-05
HSPB6	-0.000968362049574694
ARHGAP33	-0.00039229340026822
NDUFAB1	0.000324873833837336
ZMYND10	-0.00228850433503675
ARX	-0.00372619603239408
SLC25A13	0.000322294105673712
ST7	0.000445551743667986
CDC27	-0.000103790329521546
CALCR	-0.000244277943013638
HCCS	0.000616048719900565
DVL2	-0.00036129629528869
PRSS22	-0.0012929498737079
UPF1	4.81135922800849e-05
SKAP2	-0.000337789434132265
SLC25A5	0.000530920328607398
MCUB	0.00119830510980771
POLR2J	0.000153812162897003
DHX33	0.00141829730442118
MEOX1	-0.00387116332939944
THSD7A	-0.00106197946437571
LIG3	0.000402899292932416
RPAP3	0.00030255114052651
ACSM3	0.00108423496629896
REXO5	0.000481663692403338
CIAPIN1	0.000155356289368579
ATOSB	-0.00170498216123382
COPZ2	-0.00545228769332182
PRKAR2B	0.00150448235710245
MSL3	-0.000536453078238843
CREBBP	-6.1005493930145e-05
TSPOAP1	-0.000766633685313744
MPO	0.00155497782521959
GCFC2	0.000145464513955616
WDR54	-0.000232832127767553
CROT	-0.000769705546370092
KMT2E	-0.000344778058465083
RHBDD2	-0.00100666193187747
SOX8	3.55482276914308e-05
IBTK	-0.000400030726292886
ZNF195	0.000950064085643753
MYCBP2	0.000458066407440538
FBXL3	-0.00064796519793661
PDK2	-0.000407678110602814
ITGA3	-0.000716748001013313
ZFX	6.54581563743603e-05
LAMP2	-0.000551986515726902
ITGA2B	0.00114482276727859
GDE1	-2.54163545141918e-05
REX1BD	0.000190005144021743
CRLF1	2.77849219976724e-06
OSBPL7	-0.000510720895182715
TMEM98	-0.00113588268905499
YBX2	0.00233638946532595
ABCC8	0.00377319190926811
TMEM132A	-0.000511788130001479
AP2B1	-0.000242343452641405
TAC1	0.000220621989537187
ZNF263	4.14211969339343e-05
CX3CL1	0.000277702021580564
SPATA20	-0.000721252363043392
CACNA1G	0.000286321392026208
TNFRSF12A	-0.000707947445561923
MAP3K9	0.000665403202523374
RALA	0.000477319337593341
BAIAP2L1	0.000410937271749037
KDM7A	-0.000157189355081163
ETV1	0.00196160120746045
AGK	0.000304144405332041
PHTF2	-0.000173031261265749
CCL26	0.00807591781666302
FARP2	-0.000241569338917109
USH1C	0.000347400199492699
GGCT	0.00121683553733836
DBF4	0.00121665102487142
IFRD1	4.62029596761432e-05
COX10	0.000881776232612765
GTF2IRD1	-0.00043882539621574
PAF1	-0.000171314851316138
VPS41	-0.000170109981047767
ARHGAP44	0.000918932368210323
ELAC2	0.000643372176825375
ARSD	-0.000728414358804997
PNPLA4	-0.000143469434894435
ADIPOR2	-0.000132234181703548
CDKL3	-0.000352730672662482
MARK4	-0.000474124723586098
PROM1	0.00101509614771517
CCDC124	-8.63928489425546e-05
PAFAH1B1	-0.000330623645722625
NOS2	-0.000830839150232835
BLTP2	0.000108892280468933
GAS7	-0.00162894637220606
TRAPPC6A	0.000172718653610741
MATK	0.00302648148723443
SCN4A	0.00249990370147421
ST7L	-0.000484219872387119
PAX6	-0.0048741489730113
RPUSD1	0.000614901648988385
RHBDF1	-0.000981632055504184
LUC7L	-6.35686836214097e-05
CACNA2D2	0.00152804924148815
BAIAP3	-0.00106794229829996
TSR3	-7.82605247922613e-05
PIGQ	-0.000663150224737095
CRAMP1	0.000149886107851645
TEAD3	-0.000874917278832181
DNAJC11	0.000686832518600997
MYLIP	0.000878502027917077
PSMB1	5.09978803182258e-05
SYN1	0.0020514020312395
JARID2	0.00199069781671246
CDKL5	0.000626638752860401
CAMK1G	0.000629395512904855
CDK11A	0.000140007927904566
NADK	0.000270674226462564
TFAP2B	-0.00310983334706747
CYTH3	-0.000203157942647454
ADAM22	0.00175907184504825
SYPL1	-3.68702121473471e-05
CYB561	0.000339915228384267
SPAG9	-0.000726912735801009
CELSR3	0.000485050053246841
AASS	0.00321975443850057
PLEKHG6	0.00111658234996705
SS18L2	0.00131765334203768
MPND	-1.74709549344463e-05
MGST1	0.00179148156006342
CRY1	-0.000346373910428394
NFIX	-0.00134587466247396
ST3GAL1	-0.00168946495996485
